country,year,cctyear,region,ifgt0,ifgt1,ieduchildout,ieducompleteprimary,igenpop,igenpopgrowth,igenpopdensity,igovedugdp,igovgini,igovconsumexp,igovgdpppp,igovgdppppcapita,ilabforce,ilabprimaryedu,imedmortinfant,imeddptimmuinfant,imedmeaimmuinfant,imedcalpday,imedundernourishment,imedlowweightnewborn,imedprenatalcare,imedlifeexpbirth,imeddrpk,imedskilledbirth,imedh2o,cctparticipants,cctsizelocal,eventualcct,yearfromcct,continent,countryyear,mocctparticipants,mocctsizelocal,fgt0ppp2,fgt1ppp2,fgt0ppp125,fgt1ppp125,fgt0rural,fgt1rural,fgt0urb,fgt1urb,igenpop_one,igovgdpppp_ones,govedugdp,govgini,educhildout,educompleteprimary,edupersist5th,edupersistprimary,eduprogresssecondary,edulit,edulityouth,eduenrollprimary,eduenrollprimarypcnet,eduenrollsecondarypcnet,eduenrollpreprimarypcgross,eduenrolltertiarypcgross,edudurationprimary,edudurationsecondary,eduintake1stgross,edurepeatprimary,edurepeatsecondary,edustartprimary,edustartsecondary,eduteacherratioprimary,eduteacherratiosecondary,eduteachersecondary,eduteachersprimary,eduteachtrainprimary,genpop,genpopgrowth,geninch10pc,geninch20pc,genincl10pc,genincl20pc,genpopadult,genpopdensity,genpoplcity,genpoplcitypcurb,genpopold,genpopruralgrowth,genpoprural,genpopruralpc,genpopurbgrowth,genpopurb,genpopurbagglomerate1mil,genpopurbagglomerate1milpc,genpopurbpc,genpopyouth,govconsumexp,govgdpppp,govgdppppcapita,goveduexp,govgnippp,govppplcux,govpppmktx,govpppprivlcux,govstuexpprimary,govstuexpsecondary,govstuexptertiary,labforce,labparticipation,labprimaryedu,labsecondaryedu,labtertiaryedu,labunemp,labunemplt,labunempprimaryedu,labunempsecondaryedu,labunemptertiaryedu,labunempyouth,medmortinfant,meddptimmuinfant,medmeaimmuinfant,meddrpk,medlifeexpbirth,medlowweightnewborn,medprenatalcare,medskilledbirth,medcalpday,medaritreatu5,medcontraprev,meddiatreatu5,medfertility,medfertilityteen,medh2o,medhiv,medhivkid,medmalfeveranddrugsu5,mednursepk,medtechpk,medteenmom,medtetnewborn,medtub,medtubtreat,medheight4ageu5,medmortneonatal,medmortu5,medtubdetect,medundernourishment,medweight4ageu5,program,ttype,ccountry,cyear
Albania,1980,,Balkans,,,,,2.6713,2.071623,97.4927,4.936285,,,6.12E+03,2292.594,1055522,,,94,90,,,6.4,,69.67405,1.3668,,,,,0,,Europe,Albania1980,,,,,,,,,,,2671300,6.12E+09,4.936285,,,,,,,,,,,,43.70799,,4,8,,,,6,10,,,,,,2671300,2.071623,,,,,58.92929,97.4927,193644,21.44691,5.215888,1.739848,1768401,66.2,2.724638,902899.4,,,33.8,35.85483,,6.12E+09,2292.594,10.32718,,2.537145,,,,,,1055522,61.6,,,,,,,,,,,94,90,1.3668,69.67405,6.4,,,,,,,4.037,,,,,,,,,,,,,,,,,,,0,ALB,YR1980
Albania,1981,,Balkans,,,,,2.725029,1.991382,99.45361,5.014402,,,6.26E+03,2298.3635,1085835,,,94,90,,,6.4,,70.00047,1.3828,,,,,0,,Europe,Albania1981,,,,,,,,,,,2725029,6.26E+09,,,,,,,,,,,,,46.36834,5.05928,4,,,,,6,,,,,,,2725029,1.991382,,,,,59.30758,99.45361,198261,21.361,5.273854,1.59786,1796884,65.94,2.75767,928144.9,,,34.06,35.41857,,6.26E+09,2298.364,,,2.566298,,,,,,1085835,61.7,,,,,,,,,,,94,90,,70.00047,,,,,,,,3.985,,,,,,,,,,,,,,,,,,,0,ALB,YR1981
Albania,1982,,Balkans,,,,,2.777592,1.910529,101.372,5.092520,,,6.84E+03,2462.7917,1115071,,,95,93,,,6.4,,70.35124,1.3988,,,,,0,,Europe,Albania1982,,,,,,,,,,,2777592,6.84E+09,,,,,,,,,,,,,47.91134,,4,,,,,6,,,,,,,2777592,1.910529,,,,,59.55997,101.372,202994,21.2945,5.295018,1.515452,1824322,65.68,2.67099,953269.6,,,34.32,35.14501,,6.84E+09,2462.792,,,2.41849,,,,,,1115071,61.9,,,,,,,,,,,95,93,,70.35124,,,,,,,,3.942,,,,,,,,,,,,,,,,,,,0,ALB,YR1982
Albania,1983,,Balkans,,,,,2.831682,1.928652,103.3461,5.170637,,,7.19E+03,2539.0522,1141851,,,95,96,,,6.4,,70.71542,1.4148,,,,,0,,Europe,Albania1983,,,,,,,,,,,2831682,7.19E+09,,,,,,,,,,,,,48.35499,5.88002,4,,,,,6,,,,,,,2831682,1.928652,,,,,59.7491,103.3461,207840,21.22558,5.289791,1.532007,1852486,65.42,2.683372,979195.6,,,34.58,34.96111,,7.19E+09,2539.052,,,2.326077,,,,,,1141851,62,,,,,,,,,,,95,96,1.4148,70.71542,,,,,,,,3.904,,,,,,,,,,,,,,,,,,,0,ALB,YR1983
Albania,1984,,Balkans,,,,,2.891004,2.073297,105.5111,5.248754,,,7.37E+03,2548.0588,1169220,,42.2,95,96,,,6.4,,71.07648,1.4066,,,,,0,,Europe,Albania1984,,,,,,,,,,,2891004,7.37E+09,,,,,,,,,,,,,49.47737,6.55723,4,,,,,6,,,,,,,2891004,2.073297,,,,,59.95812,105.5111,212809,21.12823,5.273153,1.675073,1883778,65.16,2.822364,1007226,,,34.84,34.76873,,7.37E+09,2548.059,,7.38E+09,2.241243,0.2612171,,,,,1169220,62,,,,,,,,,,42.2,95,96,1.4066,71.07648,6.4,,,,,,,3.865,,,,,,,,,,,,,,49.4,,,,,0,ALB,YR1984
Albania,1985,,Balkans,,,,,2.95739,2.270328,107.9339,5.326870,,,7.73E+03,2612.6389,1202816,,41.1,96,96,,,6.42,,71.39758,1.4063,,,,,0,,Europe,Albania1985,,,,,,,,,,,2957390,7.73E+09,,,,,,,,,,,,,50.84441,7.04172,4,8,,,,6,10,,,,,,2957390,2.270328,,,,,60.23639,107.9339,217882,20.98967,5.257203,1.870512,1919346,64.9,3.013825,1038044,,,35.1,34.5064,,7.73E+09,2612.639,,7.73E+09,2.182463,0.2543663,,,,,1202816,62.1,,,,,,,,,,41.1,96,96,1.4063,71.39758,,,,,,,,3.816,,,,,,,,,,,,,,48,,,,,0,ALB,YR1985
Albania,1986,,Balkans,,,,,3.033393,2.537467,110.7078,5.404988,,,8.35E+03,2750.9336,1244393,,40,96,96,,,6.44,,71.63737,1.40555,,,,,0,,Europe,Albania1986,,,,,,,,,,,3033393,8.35E+09,,,,,,,,,,,,,51.62743,7.20319,4,,,,,6,,,,,,,3033393,2.537467,,,,,60.60595,110.7078,223084,20.79828,5.241789,2.136046,1960785,64.64,3.275478,1072608,,,35.36,34.15226,,8.35E+09,2750.934,,8.35E+09,2.083967,0.2604958,,,,,1244393,62.3,,,,,,,,,,40,96,96,,71.63737,,,,,,,,3.747,,,,,,,,,,,,,,46.6,,,,,0,ALB,YR1986
Albania,1987,,Balkans,,,,,3.116009,2.687122,113.723,5.483105,,,8.52E+03,2734.7439,1288325,,38.7,96,96,,,6.46,,71.77493,1.4048,,,,,0,,Europe,Albania1987,,,,,,,,,,,3116009,8.52E+09,5.483105,,,,,,,,,,,,52.50632,7.23065,4,,,,,6,,,,,,,3116009,2.687122,,,,,61.0305,113.723,228410,20.57892,5.228066,2.284083,2006087,64.38,3.419726,1109922,,,35.62,33.74143,,8.52E+09,2734.744,11.15829,8.52E+09,2.024647,0.2530808,,,,,1288325,62.4,,,,,,,,,,38.7,96,96,,71.77493,,,,,,,,3.65,,,,,,,,,,,,,,45,,,,,0,ALB,YR1987
Albania,1988,,Balkans,,,,,3.194854,2.498837,116.6005,5.308647,,,8.69E+03,2720.9424,1329068,,37.7,96,96,,,6.48,,71.80936,1.40405,,,,,0,,Europe,Albania1988,,,,,,,,,,,3194854,8.69E+09,,,,,,,,,,,,,54.00234,7.54535,4,,,,,6,,,,,,,3194854,2.498837,,,,,61.43834,116.6005,233870,20.40192,5.228751,2.094168,2048540,64.12,3.226113,1146314,,,35.88,33.3329,,8.69E+09,2720.942,11.1319,8.69E+09,1.956514,0.2445642,,,,,1329068,62.4,,,,,,,,,,37.7,96,96,,71.80936,,,,,,,,3.527,,,,,,,,,,,,,,43.7,,,,,0,ALB,YR1988
Albania,1989,,Balkans,,,,,3.255859,1.891475,118.827,5.134190,,,9.91E+03,3042.9866,1365601,,36.8,94,96,,,6.5,,71.75422,1.4033,,,,,0,,Europe,Albania1989,,,,,,,,,,,3255859,9.91E+09,,,,,,,,,,,,,54.82158,7.87866,4,,,,,6,,,,,,,3255859,1.891475,,,,,61.74301,118.827,239852,20.38401,5.2584,1.485161,2079192,63.86,2.6135,1176668,,,36.14,32.99859,,9.91E+09,3042.987,,9.91E+09,1.885535,0.2356918,,,,,1365601,62.6,,,,,,,,,,36.8,94,96,1.4033,71.75422,6.5,,,,,,,3.38,,,,,,,,,,,,,,42.6,,,,,0,ALB,YR1989
